City,Vegetation %
"Akron, OH",0.6815487054957609
"Albuquerque, NM",0.042632578995056604
"Amarillo, TX",0.2943902574393938
"Anaheim, CA",0.09772242432279793
"Anchorage, AK",0.17041852817155753
"Arlington, TX",0.4228673558756215
"Atlanta, GA",0.5666013838692445
"Augusta, GA",0.8202768890022121
"Aurora, CO",0.18031517976311634
"Aurora, IL",0.5610580920391456
"Austin, TX",0.585332628469639
"Bakersfield, CA",0.11289159438076851
"Baltimore, MD",0.4286836046377454
"Baton Rouge, LA",0.6128442992052447
"Billings, MT",0.16515345582910482
"Birmingham, AL",0.7302730634357855
"Bismarck, ND",0.24707430838190783
"Boise, ID",0.21495116741784573
"Boston, MA",0.19828187643270737
"Bridgeport, CT",0.3365373587213947
"Brownsville, TX",0.27767358506765305
"Buffalo, NY",0.34509010733932416
"Burlington, VT",0.4726829255950348
"Cape Coral, FL",0.567985280528678
"Casper, WY",0.14189723374693525
"Cedar Rapids, IA",0.465609432719506
"Chandler, AZ",0.0747574282864311
"Charleston, SC",0.5106527109264285
"Charleston, WV",0.7861699139814634
"Charlotte, NC",0.7112500493015856
"Chattanooga, TN",0.7149752957014318
"Chesapeake, VA",0.8617297083384546
"Cheyenne, WY",0.09200386011172577
"Chicago, IL",0.23474271841758668
"Chula Vista, CA",0.1085792455669244
"Cincinnati, OH",0.6085523540524183
"Cleveland, OH",0.41898591645926037
"Colorado Springs, CO",0.19630243001428804
"Columbia, MD",0.7672062052801143
"Columbia, SC",0.7681582453599516
"Columbus, GA",0.7886356252233591
"Columbus, OH",0.5777061846464642
"Corpus Christi, TX",0.12369523247070338
"Dallas, TX",0.45631194132406155
"Denver, CO",0.2076835745583273
"Des Moines, IA",0.5498093047080327
"Detroit, MI",0.49809164811822043
"Dover, DE",0.5870256535218995
"Durham, NC",0.7543257349144967
"El Paso, TX",0.036007372237128514
"Fargo, ND",0.2826877212361609
"Fayetteville, NC",0.6741404109324212
"Fontana, CA",0.04290932444908281
"Fort Lauderdale, FL",0.31136949248144397
"Fort Smith, AR",0.6395784893572092
"Fort Wayne, IN",0.6323342482464166
"Fort Worth, TX",0.4219894380524326
"Fremont, CA",0.06460384564821799
"Fresno, CA",0.11935420395531188
"Garden Grove, CA",0.04334712317385585
"Garland, TX",0.40972425262536716
"Gilbert, AZ",0.09840998078590026
"Glendale, AZ",0.08000652641229947
"Glendale, CA",0.14060913768813674
"Grand Prairie, TX",0.44274049781067004
"Grand Rapids, MI",0.5653114659025006
"Greensboro, NC",0.701206281212845
"Gulfport, MS",0.5846456310993552
"Henderson, NV",0.03117417510855632
"Hialeah, FL",0.17375668003515543
"Honolulu, HI",0.20307143450711995
"Houston, TX",0.4921575966349389
"Huntington Beach, CA",0.037473958525040305
"Huntington, WV",0.586858836515096
"Huntsville, AL",0.7345704276996705
"Indianapolis, IN",0.6070022950255156
"Irvine, CA",0.14618996680084295
"Irving, TX",0.33013703475416606
"Jackson, MS",0.7919368385301526
